income,loan_amount,credit_score,employment_status,default_label
130510,850921,423,0,0
126530,558153,337,0,0
100077,239089,627,0,0
55920,636165,550,0,0
112067,486341,475,1,0
87121,362066,753,1,0
89479,668362,336,0,0
109475,737409,615,0,0
39457,611419,892,0,0
86557,690053,413,1,0
97189,910395,339,1,1
129109,681172,600,1,0
98953,175917,523,1,0
72995,860717,617,0,0
60757,349770,648,0,0
29692,748168,414,0,0
65758,531680,622,1,0
149425,331342,867,0,0
92409,987262,339,1,1
91211,589542,339,1,0
85697,94238,588,0,0
57065,51252,561,0,0
112093,876196,515,0,1
119299,914141,446,1,0
149293,535450,635,1,0
52606,365826,467,0,0
147791,371638,391,0,0
31534,655605,652,1,0
114663,377359,870,0,0
60397,652875,870,1,0
146678,56949,662,1,0
111387,813185,856,0,0
21016,367537,644,0,0
109789,778913,469,0,0
75591,712301,655,0,1
109812,600222,490,1,0
43247,990890,721,1,0
44300,830722,306,1,1
94065,505102,432,0,0
102798,387889,856,1,0
29268,526467,330,0,0
106807,406600,834,0,0
32185,365557,725,0,0
83704,933671,693,0,0
106779,354462,662,0,0
59099,300875,736,0,0
28571,513389,850,1,0
143372,120390,381,0,0
125512,757689,655,1,0
58044,303490,557,1,0
71214,617376,888,0,0
81228,297940,823,0,0
134752,415340,594,0,0
68984,483027,523,1,0
60774,558041,824,0,0
22568,367623,345,1,1
140151,266464,412,0,0
82592,792729,532,0,1
87563,560736,316,1,0
22695,856395,659,1,0
144375,367267,522,0,0
68190,700199,747,1,0
25258,938900,664,1,0
107538,273777,625,1,0
59504,909909,766,1,0
53159,850820,713,1,0
33986,55569,754,0,0
81858,644124,885,0,0
149312,678861,532,1,0
32666,479802,523,0,0
58660,308090,711,0,0
23561,717375,871,1,0
46854,95002,634,0,0
84505,821954,521,1,0
124488,711614,336,1,0
72251,984648,577,0,0
42662,729574,495,1,0
28392,548870,783,1,0
50535,261791,541,1,0
98603,252846,623,1,0
133569,711450,491,1,0
72256,716997,316,0,1
109135,727775,823,0,0
147478,74071,700,1,0
55222,632531,321,1,1
97373,962259,773,0,0
99575,944647,419,1,1
143684,222312,509,0,0
116354,307218,605,1,0
104651,264879,569,1,0
83335,413714,584,1,0
30965,476650,526,1,0
44538,381868,680,1,0
128066,951791,759,1,0
90592,912129,306,1,1
118018,603020,328,0,0
133252,695753,332,0,0
28110,978818,378,0,1
99309,467170,758,1,0
47266,107108,869,1,0
72992,530721,837,1,0
102948,161195,781,1,0
142073,939513,729,1,0
118806,86668,584,1,0
26910,335205,815,1,0
130989,391396,398,0,0
110982,614037,696,1,0
141626,180560,788,0,0
139176,416824,338,0,0
20206,197979,570,1,0
107054,199849,456,1,1
107897,798589,374,0,1
142409,101745,429,0,0
43419,420608,383,1,0
70636,141865,321,1,0
142546,948860,758,0,0
134238,262890,838,1,0
70015,73624,681,1,0
137478,73321,739,1,0
142096,453704,320,0,0
127059,859006,602,0,0
74268,972744,383,0,1
130687,224293,752,1,0
107939,977982,686,1,0
38141,833415,806,0,0
100356,236717,556,0,0
125878,986766,869,0,0
91910,430975,826,1,0
76044,233868,461,0,0
87214,709792,462,0,0
137930,145257,823,1,0
139324,638579,570,1,0
53827,260176,791,1,0
75820,240471,507,0,0
82623,964032,838,1,0
101734,522930,883,1,0
95450,886860,359,0,1
113426,793091,729,1,0
137845,568862,608,0,0
42299,967806,819,0,0
63585,525774,890,1,0
129225,967559,326,1,1
84044,685605,861,1,0
62557,189789,498,1,0
69080,439593,686,1,0
129556,865131,648,1,0
22693,123686,835,0,0
115003,117661,677,0,0
115259,618535,857,1,0
132235,295121,826,0,0
89163,722108,452,1,1
45939,417257,505,0,0
68925,316765,754,0,0
62941,196106,572,0,0
41834,308930,535,1,0
38047,972630,820,0,0
46105,710482,800,1,0
95766,854462,416,0,1
35707,919270,685,0,0
41976,921149,643,0,1
64262,498874,883,0,0
145117,612926,694,0,0
43776,903499,363,1,0
50080,168033,371,1,0
148376,680265,573,0,0
86842,663157,619,0,0
81373,679474,637,0,0
26776,871106,665,0,0
112787,216926,794,1,0
147948,620559,465,0,0
75016,910120,843,1,0
29474,481734,310,0,1
125830,423220,600,1,0
78053,715627,401,0,0
41959,271897,724,0,0
25530,51062,691,1,0
114856,297736,513,0,0
139101,624736,387,0,0
23748,145462,852,0,0
117504,449445,700,1,0
118098,500009,887,0,0
33545,820173,345,0,1
147659,622203,762,1,0
86199,316776,891,1,0
54766,678880,609,1,0
93530,708956,385,0,0
113557,421923,391,0,0
81087,449384,541,0,0
115839,682387,301,1,1
136183,581849,524,0,0
88840,517010,888,0,0
138451,656440,415,1,1
74384,699324,402,1,1
71005,436193,493,1,0
66576,76734,465,1,0
59353,973875,389,1,1
82003,76069,421,0,0
103211,785265,442,1,0
72733,587198,405,0,1
85318,385623,727,0,0
129953,520951,604,1,0
109474,131264,616,1,0
43664,73275,308,1,0
87172,646562,372,0,1
105616,524665,658,1,0
145879,412920,522,1,0
113264,241076,715,1,0
135386,244053,852,1,0
46736,759913,669,1,0
114209,622735,563,0,1
123041,962826,617,0,0
132859,649991,383,0,0
132181,912522,617,1,0
20854,853692,410,1,1
110084,162581,550,1,0
58623,315956,682,0,0
27392,471240,306,1,0
75680,764016,758,1,0
146354,952580,383,1,1
66717,994789,507,0,1
139937,166421,689,1,0
107092,575893,613,0,0
70859,514374,321,1,0
145657,122303,709,0,0
124095,208211,814,0,0
46309,237210,426,0,1
107455,836237,313,1,0
83734,912557,311,1,1
90467,194990,386,0,0
72662,208518,823,0,0
118506,174040,836,1,0
129751,718406,600,1,0
138906,573138,542,0,0
32688,468034,421,1,0
45342,806254,446,1,1
57157,840756,866,1,0
87863,912755,655,1,0
126308,845543,608,0,0
72083,590677,587,1,0
126081,696465,606,1,0
85733,353571,893,0,0
109045,734106,848,0,0
54698,172883,651,1,0
130078,793246,611,1,0
100623,812501,358,1,0
42671,967621,334,1,1
45184,437952,744,0,0
113384,162221,392,0,0
62107,849666,506,0,1
106202,310669,652,1,0
129893,809224,631,1,0
71663,889873,458,1,0
35708,575134,323,1,0
111906,585242,703,0,0
69811,391383,815,0,0
22811,294761,663,1,0
76250,882946,681,0,0
132547,924668,831,1,0
92082,934011,451,1,1
144249,187541,861,0,0
54754,997609,719,1,0
115742,878533,549,1,0
126642,114323,416,0,0
31411,666210,811,1,0
22911,239139,877,1,0
87270,230448,634,0,0
103763,750947,717,1,0
28680,285659,594,0,0
104896,439678,670,1,0
103879,904016,485,0,0
91295,154537,545,0,0
108614,914909,567,0,0
120689,291983,536,1,0
31111,616821,829,0,0
57504,838260,851,0,0
21802,51917,320,0,0
28155,332762,819,0,0
93656,606542,399,0,0
59384,836275,777,1,0
132561,417436,898,1,0
67254,559930,597,1,0
41918,621650,825,1,0
105981,332272,633,1,0
80713,435925,301,1,0
50306,816641,674,1,0
36646,764743,592,0,0
66843,639833,852,1,0
140975,132180,617,0,0
116601,662246,801,0,0
110735,453081,680,1,0
127512,969723,313,0,1
36371,351953,803,0,0
97371,428892,530,0,0
131472,55287,383,0,0
22049,307665,429,1,0
51616,58512,444,1,0
123727,706702,327,1,0
132893,506292,365,1,0
146603,158872,462,1,0
40932,986720,528,1,1
137796,822042,560,1,0
49855,143070,748,1,0
81434,654055,723,1,0
92694,672117,759,1,0
63016,994118,600,0,0
27400,479474,602,1,0
137858,92078,586,0,0
62642,418432,694,0,0
35151,657812,309,0,0
71407,277645,569,0,0
86690,586507,891,1,0
24499,836667,660,0,0
26295,355073,556,1,0
140885,177309,432,1,0
146071,379588,575,0,0
79040,713927,812,1,0
32183,938266,612,0,1
49299,514008,875,0,0
32874,770801,583,1,0
136336,396699,420,1,0
52711,385842,406,0,0
25539,436594,503,1,0
127941,822608,464,1,0
73351,710775,604,1,1
81267,741519,796,0,0
143133,93925,855,0,0
68354,187023,455,1,0
146063,137388,666,1,0
22557,582295,550,1,0
58360,307802,633,1,0
102018,485048,810,1,0
22200,108596,592,0,0
132476,957533,319,1,0
88497,998027,581,0,1
66975,401005,300,1,0
41357,829554,418,0,1
139121,923172,334,1,1
97505,589812,497,0,0
22869,572244,784,1,0
146114,462498,358,0,0
81135,729290,460,0,0
70108,967581,505,0,0
132296,549097,311,0,0
114179,699789,789,0,0
110272,857043,575,0,0
58467,198056,541,1,0
43328,64060,515,0,0
139181,788345,550,1,0
111412,527272,425,1,0
106831,568545,516,1,0
23987,879735,605,1,0
78871,240279,484,1,0
42399,780406,338,0,1
148391,734647,522,0,0
66214,89711,483,0,0
119522,193026,794,1,0
106416,385484,726,0,0
90271,515317,477,0,0
64064,268134,727,0,0
145615,152974,593,0,0
90091,199646,450,0,0
127450,452400,683,1,0
60818,200168,607,0,0
65525,642016,635,1,0
39830,739376,674,1,0
37429,585534,307,1,1
26893,488774,640,1,0
136381,561937,428,1,0
99909,461597,651,0,0
67333,964228,657,0,0
23436,142263,816,0,0
94290,971522,794,1,0
96213,585590,385,0,0
25895,903938,474,0,1
39738,615445,492,1,0
50746,629205,610,1,0
69377,273810,418,1,0
68404,146646,517,1,0
74045,395266,726,0,0
117888,860951,713,1,0
149307,540025,413,1,0
59790,530703,444,0,0
127455,393054,837,0,0
25600,956862,602,1,0
114660,907756,887,0,0
113179,317552,644,1,0
60764,109379,300,1,0
94543,75053,446,0,0
65714,452662,586,0,0
76835,706282,352,1,1
122946,148723,603,1,0
148191,625644,368,1,0
129616,322933,660,0,0
125983,934152,519,1,0
93744,903088,874,1,0
76491,880460,884,1,0
144123,900916,460,1,0
38589,82154,388,1,0
63484,263942,884,0,0
102989,314480,888,1,0
56212,415821,458,1,0
63525,904211,788,1,0
67202,331173,623,1,0
52635,895633,680,0,0
83208,82265,401,0,0
53828,415060,793,0,0
38711,293322,318,1,0
23420,224944,753,1,0
116752,620485,781,0,1
20301,962165,893,0,0
65236,498396,696,0,0
135294,204782,578,1,0
137858,734846,664,1,0
86235,121907,630,0,0
74240,965308,643,0,0
144019,252967,754,0,0
85726,900867,364,1,1
30492,352775,375,1,1
135668,441182,442,1,0
121279,806892,772,0,0
26102,332247,716,0,0
70336,114772,604,1,0
138015,176108,796,0,0
105314,64382,590,1,0
143007,134291,401,0,0
46641,413339,566,0,0
54584,709116,302,0,1
52745,332753,384,0,0
140542,197550,627,1,0
43093,282050,749,0,0
86105,482882,753,1,0
123746,387827,520,1,0
120199,542313,453,1,0
71885,436858,311,0,0
56631,704618,432,1,0
131217,645603,603,1,0
92991,914266,592,1,0
24014,438349,599,0,0
31093,64153,342,0,0
38070,650613,642,1,0
55777,290773,625,0,0
76958,980503,797,1,0
102074,105318,663,1,0
30729,444030,726,0,0
119713,427177,320,1,0
65017,126077,706,0,0
86320,926906,635,0,0
47751,183515,416,1,0
126400,256988,423,0,0
125864,909751,698,0,0
98069,175885,350,1,0
125647,946209,623,1,0
125510,591656,440,0,0
74748,720688,769,0,0
25801,238014,633,1,0
39190,141751,672,0,0
69689,280203,863,0,0
124290,863738,793,0,0
70993,745275,838,0,0
49592,873651,455,0,1
30647,261951,590,0,0
28716,555155,443,0,0
108891,245716,405,1,0
107545,634567,719,1,0
137638,365172,301,1,0
109912,940695,888,1,0
130627,50126,389,1,0
90316,888761,644,0,0
146995,77632,649,0,0
22368,550315,758,0,0
97575,770670,562,0,0
26655,159945,650,1,0
126477,367320,407,0,0
90031,300869,885,0,0
96429,791426,338,1,0
111083,548716,458,0,0
107922,225399,882,0,0
75766,512120,611,1,0
144046,184869,540,0,0
33403,228954,744,0,0
52097,719078,597,0,0
98657,84560,335,0,0
140607,913021,383,0,0
30966,334260,751,1,0
144862,182717,684,1,0
119157,228595,471,1,0
138834,698373,675,1,0
113848,429862,661,1,0
72921,855688,858,1,0
69726,544592,440,0,0
146141,150158,417,1,0
70300,758533,576,1,0
42677,218502,519,0,0
75609,482498,325,0,0
116825,956151,820,1,0
76661,380388,309,0,0
51024,717054,677,1,0
128211,368408,883,0,0
90313,518276,451,1,0
147813,107545,348,0,0
73006,561411,453,0,0
115285,875656,592,1,0
35338,934377,879,1,0
88027,63224,349,1,0
112772,90738,830,1,0
133632,992654,359,1,0
100135,900163,466,0,0
39508,230760,501,1,0
140379,813978,445,1,0
23051,516725,738,0,0
68747,713937,541,0,0
134692,582358,880,1,0
107142,176161,860,0,0
107235,582954,782,0,0
74021,894193,407,1,0
86412,348512,525,0,0
78335,712143,731,0,0
76179,616202,718,1,0
52093,251579,754,1,0
89678,702026,459,0,0
100738,821253,822,0,0
59734,554471,889,1,0
92615,379670,376,0,0
93523,856388,808,0,0
125103,268967,740,0,0
114476,882672,553,1,0
122769,433152,619,0,0
37019,144270,562,0,0
131721,841189,896,1,0
103613,593385,853,0,0
111794,715755,673,0,0
106672,197313,466,1,0
93847,940324,758,1,0
102750,208768,579,1,0
99634,296726,601,1,0
48251,906912,830,0,0
123481,620451,879,0,0
132566,69816,517,1,0
45945,807907,401,1,0
110852,364997,853,0,0
52217,205989,587,1,0
28308,671019,466,0,1
25949,726926,335,1,1
71990,256524,652,0,0
21150,637111,372,1,1
109480,201878,652,1,0
120235,780880,369,0,1
94740,576047,724,1,0
136352,831452,860,0,0
86617,485165,816,0,0
114841,928806,727,0,0
36896,183554,838,0,0
145729,860874,459,0,0
66175,501282,448,1,0
27805,143501,529,1,0
25237,314223,861,0,0
135247,970221,366,1,1
40056,109676,680,0,0
65543,995456,357,1,1
76556,791804,558,1,0
134548,223532,641,1,0
131488,664685,429,1,0
23343,647135,471,0,0
33500,667895,508,0,1
73222,270178,653,1,0
49375,199521,770,1,0
29662,476752,415,0,0
36964,638365,563,1,0
133429,874690,741,0,0
141692,753662,847,0,0
79638,307009,752,0,0
93666,996369,776,1,0
105067,187717,586,0,0
138937,431915,602,1,0
87215,612288,610,0,0
89042,601025,507,1,0
33284,847917,745,1,0
92789,350709,354,1,0
104664,993026,311,0,1
113468,956046,699,0,0
81389,901587,814,1,0
29435,236240,841,1,0
74340,626775,536,1,0
64078,966380,578,0,1
98832,324486,647,0,0
71293,352950,403,0,0
115981,360914,816,0,0
98781,128623,547,1,0
80403,415321,663,1,0
49124,967458,620,0,0
115435,912061,585,0,0
63919,957425,448,1,0
128761,233675,383,0,0
141305,963376,705,0,0
55247,787334,755,0,0
141172,680235,460,0,0
114758,862831,759,0,0
111747,702465,849,0,0
82752,266454,799,1,0
76573,159575,808,0,0
79101,947336,780,0,0
122756,257606,413,1,0
46646,555815,877,1,0
124185,342822,660,1,0
43049,126218,640,0,0
99605,637518,748,1,0
118116,820044,479,0,1
117379,386199,706,0,0
88385,499589,495,0,0
146131,736840,765,1,0
60158,528446,610,1,0
85417,512052,561,1,0
43289,384402,718,1,0
130226,89986,705,1,0
120793,729520,442,0,0
29823,397739,641,0,0
80160,675646,615,0,0
61975,522327,400,0,0
29540,377073,543,1,0
36364,647794,789,1,0
24611,84911,311,0,0
47663,923559,538,1,0
71991,475037,860,1,0
77679,780399,341,0,1
124182,949885,893,0,0
50977,658746,728,1,0
114704,62175,457,1,0
69115,955667,515,0,1
111007,366915,761,0,0
108223,549876,433,0,0
80890,963589,366,1,1
86387,695588,306,0,1
38071,661213,825,0,0
79275,818734,372,1,1
92369,116358,698,1,0
31938,460543,704,1,0
55195,97057,877,1,0
111680,318294,429,1,0
24000,840857,765,0,0
90588,304726,505,0,0
121042,328176,565,1,0
113610,576486,836,1,0
140420,758754,552,1,0
123691,987583,588,1,0
126306,217292,463,1,0
117856,194931,394,0,0
58304,493676,409,0,0
131783,212491,635,0,0
89449,431009,537,0,0
102986,451921,680,1,0
109643,310910,735,0,0
40764,73236,782,1,0
128940,137955,324,1,0
106027,790874,416,1,0
58494,677433,781,0,0
23373,720718,691,1,0
32161,280785,836,0,0
117532,144914,378,0,0
112658,939302,879,1,0
143633,257990,472,1,0
120386,428387,311,1,0
47350,588884,427,0,0
113008,706639,391,1,0
114297,244269,842,0,0
45351,947928,831,1,0
108668,442417,746,1,0
134585,188155,689,0,0
35305,170674,342,0,1
95353,956739,553,0,0
96797,831817,429,0,0
85953,814757,359,0,1
77458,985275,766,0,0
127112,997479,586,1,0
40358,306713,816,1,0
23267,491501,766,0,0
102745,593351,644,1,0
109588,117642,681,0,0
58513,140093,552,1,0
46092,557606,355,1,1
31338,267215,762,0,0
20412,757280,756,0,0
27543,733889,382,0,1
125891,85954,398,1,0
53496,77856,448,0,0
80692,576861,628,1,0
109084,609655,455,0,0
112920,545553,489,1,0
143555,812092,793,1,0
64425,936040,562,0,1
58756,372918,379,1,0
38888,73752,699,1,0
55735,891461,559,0,0
67295,198757,851,1,0
137474,966714,400,0,1
134352,363837,658,0,0
103042,166739,679,0,0
105999,892393,520,0,0
37955,288009,719,1,0
57841,830316,423,1,0
90640,257980,721,1,0
85510,306609,530,0,0
54911,438822,362,1,0
79031,386676,784,1,0
108726,394138,873,0,0
27357,368277,782,0,0
52479,568271,818,1,0
81476,373412,454,0,0
64811,535417,391,0,0
56208,481459,825,0,0
40150,238456,754,0,0
91180,605941,897,1,0
63286,207729,809,0,0
132856,989684,482,0,0
88450,278504,685,0,0
41352,696117,873,0,0
75069,702665,704,0,0
131888,575910,545,0,0
130448,623044,890,0,0
34397,90809,770,0,0
61555,591013,722,1,0
66959,766756,364,0,1
20728,101226,312,1,0
70517,549512,512,0,0
139180,655470,541,0,1
86234,525781,792,0,0
59954,79402,512,0,0
67280,54263,637,1,0
99459,801883,472,0,1
36779,227900,463,0,0
83932,622212,764,1,0
92936,386326,796,1,0
44466,274137,694,0,0
56939,502268,607,1,0
89896,979168,482,1,0
55270,347881,809,1,0
79163,413476,845,0,0
102637,401707,863,0,0
71934,734733,893,0,0
84895,560585,526,1,0
52307,741757,735,0,0
74098,440719,721,1,0
80921,529361,853,0,0
25486,151371,320,0,0
28335,612997,853,1,0
106900,242192,696,0,0
146020,200322,404,1,0
141954,71172,491,1,0
122795,585843,316,0,0
109112,627564,419,1,0
117203,631780,692,0,0
31130,758362,724,0,0
107508,563319,428,1,0
125955,830298,429,0,0
138324,926031,871,1,0
80566,272320,859,0,0
86703,467978,328,0,0
47192,61046,396,0,0
21062,278071,309,0,1
104076,428165,541,0,0
109780,996273,531,1,1
41545,758662,583,1,0
41689,466366,499,1,0
31174,316997,378,1,0
108461,695188,472,1,0
146174,532615,766,1,0
123033,465008,880,0,0
29348,633417,715,0,0
43714,811379,748,1,0
58102,255550,386,1,0
94460,294883,400,0,1
122634,688418,307,0,0
109930,510514,499,0,0
26801,999491,804,1,0
123150,721210,386,1,0
92267,979616,342,1,1
68136,171789,684,0,0
43625,729418,734,0,0
102873,750780,707,1,0
120843,613178,782,1,0
92592,116017,316,0,0
97052,228376,447,0,0
64261,738281,576,0,0
21542,549137,531,0,0
41677,706884,665,1,0
66732,674712,527,0,0
70343,851480,735,0,0
59081,743264,698,0,0
82856,891344,510,1,0
113105,608296,690,1,0
108858,443276,798,0,0
39065,780026,839,0,0
144097,657847,862,0,0
103460,105337,790,1,0
108092,947048,741,1,0
146116,325494,560,1,0
74693,74354,649,0,0
46962,95186,651,1,0
48295,602433,819,0,0
33807,477236,619,0,0
62348,660411,437,0,0
46432,549883,849,1,0
103285,780546,667,0,0
126995,790829,519,1,0
111792,594869,636,1,0
77854,663217,522,0,0
60262,335195,659,0,0
57080,625762,628,1,0
21324,666036,762,0,0
111267,175995,860,1,0
144707,295690,681,0,0
55909,381770,889,1,0
109339,843392,468,1,0
39870,478988,516,1,0
54578,989024,677,1,0
92124,230553,418,0,0
137611,610696,489,0,0
123605,930438,669,1,0
46790,309568,448,1,0
138874,369278,787,0,0
45289,201563,673,0,0
75129,706701,459,0,1
113714,749983,650,0,0
114246,664615,587,0,0
35485,443554,587,0,1
64482,252503,525,1,0
106188,193326,822,0,0
24748,757220,821,0,0
106769,61344,572,1,0
29435,444966,701,0,0
23709,642245,482,0,0
143961,155423,787,0,0
50355,370197,423,0,0
75771,514071,713,0,0
77799,721256,471,1,0
33116,236833,587,0,0
45470,767912,734,1,0
62344,825435,412,1,0
62918,127454,421,0,0
72224,307594,843,1,0
59298,561897,521,0,0
128492,402744,338,1,0
100219,959164,796,1,0
81629,566142,532,0,0
86040,995439,829,0,0
119518,87641,448,0,0
119835,603999,696,0,0
48016,906774,601,0,0
43960,419040,659,1,0
53591,717542,537,1,0
102848,662121,535,1,0
123333,368420,502,1,0
131732,331685,555,1,0
134821,930889,897,1,0
87641,525526,534,1,0
56395,94813,644,0,0
131276,742558,833,0,0
149695,714180,765,1,0
42700,336214,840,1,0
54620,978626,512,0,0
123214,392703,762,0,0
148148,254615,735,0,0
40559,526657,582,0,0
113045,616074,861,1,0
113396,800294,762,0,0
81642,805164,706,1,0
96539,449953,387,1,0
41732,872494,343,1,1
148675,888003,760,0,0
111362,337654,577,0,0
50354,331570,720,1,0
33843,87265,652,1,0
130008,985354,814,1,0
134065,299321,318,0,0
91726,116150,322,1,0
37640,661600,712,0,0
72528,139613,329,1,0
58413,387054,407,1,0
148142,888807,666,1,0
72638,171826,580,0,0
72736,609723,427,0,0
127892,932875,528,1,0
130133,500348,410,0,0
126357,260017,435,1,0
88866,184055,661,0,0
39087,540457,485,0,1
61430,726022,883,0,0
44504,859942,428,1,1
27114,783547,560,0,0
98859,746358,814,0,0
119657,500062,748,1,0
30975,144071,403,1,0
31023,843072,782,1,0
41447,356691,523,1,0
110469,891052,790,0,0
145899,196389,772,0,0
43959,689896,309,0,1
86203,319708,704,0,0
139156,732705,601,0,0
49703,688112,530,1,0
29337,304444,365,0,0
66427,653561,411,0,0
141507,911291,312,0,0
81529,261837,692,1,0
122023,160017,799,1,0
104665,173618,897,0,0
125787,509297,533,1,0
51921,175341,613,1,0
53307,865862,865,1,0
47355,780892,311,1,0
123268,602076,508,1,0
147016,800865,313,1,0
24835,491759,717,1,0
40159,981423,736,0,0
124346,905778,676,0,0
67605,932554,319,1,1
141790,614262,886,0,0
125616,943741,369,0,1
58088,590659,510,1,0
